5s-4p,14765.99951,12824.4917,2.6
4d-4p,21962.73013,15975.47445,2.5
6s-4p,23634.89569,22318.60885,2.4
7s-4p,26497.87871,26481.54303,2.3
5d-4p,26907.74572,21683.35237,2.2
45-4p,30835.12306,25918.17063,2.1
4s-5p,49954.36669,45800.56875,2
